Source,Target,Weight
Oatmeal Stout,American Double / Imperial Sto,0
Bock,American Double / Imperial Sto,0
English India Pale Ale (IPA),American Double / Imperial Sto,0
Lambic - Fruit,American Double / Imperial Sto,0
Dubbel,American Double / Imperial Sto,0
Belgian Dark Ale,American Double / Imperial Sto,0
Bière de Garde,American Double / Imperial Sto,1
Baltic Porter,American Double / Imperial Sto,0
Russian Imperial Stout,American Double / Imperial Sto,0
American Blonde Ale,American Double / Imperial Sto,0
Tripel,American Double / Imperial Sto,0
Flanders Oud Bruin,American Double / Imperial Sto,0
English Stout,American Double / Imperial Sto,0
Quadrupel (Quad),American Double / Imperial Sto,0
Milk / Sweet Stout,American Double / Imperial Sto,0
Winter Warmer,American Double / Imperial Sto,0
Vienna Lager,American Double / Imperial Sto,0
Irish Red Ale,American Double / Imperial Sto,0
American Adjunct Lager,American Double / Imperial Sto,0
English Bitter,American Double / Imperial Sto,0
Schwarzbier,American Double / Imperial Sto,0
Belgian Strong Dark Ale,American Double / Imperial Sto,0
Belgian Pale Ale,American Double / Imperial Sto,0
Scottish Ale,American Double / Imperial Sto,0
Light Lager,American Double / Imperial Sto,0
American Amber / Red Lager,American Double / Imperial Sto,0
American Pale Lager,American Double / Imperial Sto,0
Dortmunder / Export Lager,American Double / Imperial Sto,0
Altbier,American Double / Imperial Sto,0
Berliner Weissbier,American Double / Imperial Sto,0
English Porter,American Double / Imperial Sto,0
Maibock / Helles Bock,American Double / Imperial Sto,0
Irish Dry Stout,American Double / Imperial Sto,0
Keller Bier / Zwickel Bier,American Double / Imperial Sto,0
English Strong Ale,American Double / Imperial Sto,0
Wheatwine,American Double / Imperial Sto,0
English Pale Ale,American Double / Imperial Sto,0
Bière de Champagne / Bière B,American Double / Imperial Sto,0
Czech Pilsener,American Double / Imperial Sto,0
American Wild Ale,American Double / Imperial Sto,1
Doppelbock,American Double / Imperial Sto,0
Dunkelweizen,American Double / Imperial Sto,1
Gueuze,American Double / Imperial Sto,0
Eisbock,American Double / Imperial Sto,0
Euro Strong Lager,American Double / Imperial Sto,0
Scottish Gruit / Ancient Herbe,American Double / Imperial Sto,0
Lambic - Unblended,American Double / Imperial Sto,0
Munich Dunkel Lager,American Double / Imperial Sto,0
Roggenbier,American Double / Imperial Sto,0
Faro,American Double / Imperial Sto,0
Kölsch,American Double / Imperial Sto,0
American Dark Wheat Ale,American Double / Imperial Sto,0
Sahti,American Double / Imperial Sto,0
Smoked Beer,American Double / Imperial Sto,0
Euro Dark Lager,American Double / Imperial Sto,0
Weizenbock,American Double / Imperial Sto,0
American Black Ale,Scotch Ale / Wee Heavy,0
American Double / Imperial IPA,Scotch Ale / Wee Heavy,0
American Double / Imperial Pil,Scotch Ale / Wee Heavy,0
American IPA,Scotch Ale / Wee Heavy,0
American Double / Imperial Sto,Scotch Ale / Wee Heavy,0
Scotch Ale / Wee Heavy,Scotch Ale / Wee Heavy,12
Old Ale,Scotch Ale / Wee Heavy,0
English Brown Ale,Scotch Ale / Wee Heavy,0
Euro Pale Lager,Scotch Ale / Wee Heavy,0
Munich Helles Lager,Scotch Ale / Wee Heavy,0
Märzen / Oktoberfest,Scotch Ale / Wee Heavy,0
Extra Special / Strong Bitter,Scotch Ale / Wee Heavy,0
Saison / Farmhouse Ale,Scotch Ale / Wee Heavy,0
Belgian Strong Pale Ale,Scotch Ale / Wee Heavy,0
Flanders Red Ale,Scotch Ale / Wee Heavy,0
Foreign / Export Stout,Scotch Ale / Wee Heavy,0
Hefeweizen,Scotch Ale / Wee Heavy,0
American Stout,Scotch Ale / Wee Heavy,0
Herbed / Spiced Beer,Scotch Ale / Wee Heavy,0
American Porter,Scotch Ale / Wee Heavy,0
California Common / Steam Beer,Scotch Ale / Wee Heavy,0
American Strong Ale,Scotch Ale / Wee Heavy,1
American Pale Ale (APA),Scotch Ale / Wee Heavy,0
Witbier,Scotch Ale / Wee Heavy,0
English Barleywine,Scotch Ale / Wee Heavy,0
Pumpkin Ale,Scotch Ale / Wee Heavy,0
Japanese Rice Lager,Scotch Ale / Wee Heavy,0
Cream Ale,Scotch Ale / Wee Heavy,0
Fruit / Vegetable Beer,Scotch Ale / Wee Heavy,0
Gose,Scotch Ale / Wee Heavy,0
American Brown Ale,Scotch Ale / Wee Heavy,0
American Barleywine,Scotch Ale / Wee Heavy,0
American Pale Wheat Ale,Scotch Ale / Wee Heavy,0
Rye Beer,Scotch Ale / Wee Heavy,0
American Amber / Red Ale,Scotch Ale / Wee Heavy,0
Belgian IPA,Scotch Ale / Wee Heavy,0
German Pilsener,Scotch Ale / Wee Heavy,1
Oatmeal Stout,Scotch Ale / Wee Heavy,1
Bock,Scotch Ale / Wee Heavy,0
English India Pale Ale (IPA),Scotch Ale / Wee Heavy,0
Lambic - Fruit,Scotch Ale / Wee Heavy,0
Dubbel,Scotch Ale / Wee Heavy,0
Belgian Dark Ale,Scotch Ale / Wee Heavy,0
Bière de Garde,Scotch Ale / Wee Heavy,0
Baltic Porter,Scotch Ale / Wee Heavy,0
Russian Imperial Stout,Scotch Ale / Wee Heavy,0
American Blonde Ale,Scotch Ale / Wee Heavy,0
Tripel,Scotch Ale / Wee Heavy,0
Flanders Oud Bruin,Scotch Ale / Wee Heavy,0
English Stout,Scotch Ale / Wee Heavy,0
Quadrupel (Quad),Scotch Ale / Wee Heavy,0
Milk / Sweet Stout,Scotch Ale / Wee Heavy,0
Winter Warmer,Scotch Ale / Wee Heavy,0
Vienna Lager,Scotch Ale / Wee Heavy,0
Irish Red Ale,Scotch Ale / Wee Heavy,0
American Adjunct Lager,Scotch Ale / Wee Heavy,0
English Bitter,Scotch Ale / Wee Heavy,0
Schwarzbier,Scotch Ale / Wee Heavy,0
Belgian Strong Dark Ale,Scotch Ale / Wee Heavy,0
Belgian Pale Ale,Scotch Ale / Wee Heavy,0
Scottish Ale,Scotch Ale / Wee Heavy,0
Light Lager,Scotch Ale / Wee Heavy,0
American Amber / Red Lager,Scotch Ale / Wee Heavy,0
American Pale Lager,Scotch Ale / Wee Heavy,0
Dortmunder / Export Lager,Scotch Ale / Wee Heavy,1
Altbier,Scotch Ale / Wee Heavy,0
Berliner Weissbier,Scotch Ale / Wee Heavy,0
English Porter,Scotch Ale / Wee Heavy,0
Maibock / Helles Bock,Scotch Ale / Wee Heavy,0
Irish Dry Stout,Scotch Ale / Wee Heavy,0
Keller Bier / Zwickel Bier,Scotch Ale / Wee Heavy,0
English Strong Ale,Scotch Ale / Wee Heavy,0
Wheatwine,Scotch Ale / Wee Heavy,1
English Pale Ale,Scotch Ale / Wee Heavy,0
Bière de Champagne / Bière B,Scotch Ale / Wee Heavy,0
Czech Pilsener,Scotch Ale / Wee Heavy,0
American Wild Ale,Scotch Ale / Wee Heavy,0
Doppelbock,Scotch Ale / Wee Heavy,0
Dunkelweizen,Scotch Ale / Wee Heavy,0
Gueuze,Scotch Ale / Wee Heavy,0
Eisbock,Scotch Ale / Wee Heavy,0
Euro Strong Lager,Scotch Ale / Wee Heavy,0
Scottish Gruit / Ancient Herbe,Scotch Ale / Wee Heavy,0
Lambic - Unblended,Scotch Ale / Wee Heavy,0
Munich Dunkel Lager,Scotch Ale / Wee Heavy,0
Roggenbier,Scotch Ale / Wee Heavy,0
Faro,Scotch Ale / Wee Heavy,0
Kölsch,Scotch Ale / Wee Heavy,0
American Dark Wheat Ale,Scotch Ale / Wee Heavy,0
Sahti,Scotch Ale / Wee Heavy,0
Smoked Beer,Scotch Ale / Wee Heavy,0
Euro Dark Lager,Scotch Ale / Wee Heavy,0
Weizenbock,Scotch Ale / Wee Heavy,0
American Black Ale,Old Ale,0
American Double / Imperial IPA,Old Ale,0
American Double / Imperial Pil,Old Ale,0
American IPA,Old Ale,0
American Double / Imperial Sto,Old Ale,0
Scotch Ale / Wee Heavy,Old Ale,0
Old Ale,Old Ale,4
English Brown Ale,Old Ale,0
Euro Pale Lager,Old Ale,0
Munich Helles Lager,Old Ale,0
Märzen / Oktoberfest,Old Ale,1
Extra Special / Strong Bitter,Old Ale,0
Saison / Farmhouse Ale,Old Ale,0
Belgian Strong Pale Ale,Old Ale,0
Flanders Red Ale,Old Ale,0
Foreign / Export Stout,Old Ale,0
Hefeweizen,Old Ale,0
American Stout,Old Ale,0
Herbed / Spiced Beer,Old Ale,0
American Porter,Old Ale,0
California Common / Steam Beer,Old Ale,0
American Strong Ale,Old Ale,0
American Pale Ale (APA),Old Ale,0
Witbier,Old Ale,0
English Barleywine,Old Ale,0
Pumpkin Ale,Old Ale,0
Japanese Rice Lager,Old Ale,0
Cream Ale,Old Ale,0
Fruit / Vegetable Beer,Old Ale,0
Gose,Old Ale,0
American Brown Ale,Old Ale,0
American Barleywine,Old Ale,0
American Pale Wheat Ale,Old Ale,0
Rye Beer,Old Ale,0
American Amber / Red Ale,Old Ale,0
Belgian IPA,Old Ale,0
German Pilsener,Old Ale,0
Oatmeal Stout,Old Ale,0
Bock,Old Ale,0
English India Pale Ale (IPA),Old Ale,0
